time_records,open,high,low,close,prediction,ticket,order price,prediction_s
2023-03-29 09:00:00,,,,,,,,
2023-03-29 21:00:00,,,,,,,,
2023-03-29 23:00:00,,,,,,,,
2023-03-30 00:00:00,,,,,,,,
2023-03-30 08:00:00,1961.438,1961.981,1955.383,1959.153,0.0,none,none,
2023-03-30 09:00:00,1959.147,1960.24,1958.052,1958.419,0.0,none,none,
2023-03-30 10:00:00,1958.406,1960.868,1957.654,1959.604,0.0,none,none,
2023-03-30 13:00:00,1964.575,1969.432,1963.778,1968.744,1.0,268151662,1969.042,
2023-03-30 14:00:00,1968.712,1971.512,1966.009,1966.668,0.0,none,none,
2023-03-30 15:00:00,1966.637,1968.551,1964.956,1967.941,0.0,none,none,
2023-03-30 16:00:00,1967.918,1968.551,1966.946,1967.409,0.0,none,none,
2023-03-30 17:00:00,1967.389,1970.969,1966.944,1968.883,0.0,none,none,
2023-03-30 18:00:00,1968.853,1971.224,1968.261,1968.641,0.0,none,none,
2023-03-30 19:00:00,1968.672,1975.328,1967.752,1970.287,0.0,none,none,
2023-03-30 20:00:00,1970.257,1971.042,1965.234,1966.641,0.0,none,none,
2023-03-30 21:00:00,1966.672,1972.346,1963.951,1972.144,1.0,268401742,1972.238,
2023-03-30 22:00:00,1972.113,1975.2,1971.14,1974.737,0.0,none,none,
2023-03-30 23:00:00,1974.767,1984.289,1974.767,1983.147,1.0,268481272,1983.486,
2023-03-31 00:00:00,1983.177,1983.489,1978.16,1979.893,0.0,none,none,
2023-03-31 01:00:00,1979.862,1981.895,1979.546,1981.461,0.0,none,none,
2023-03-31 02:00:00,1981.436,1983.075,1980.484,1981.298,0.0,none,none,
2023-03-31 03:00:00,1981.268,1981.981,1979.887,1980.374,0.0,none,none,
2023-03-31 05:00:00,1980.343,1980.519,1979.081,1979.118,0.0,none,none,
2023-03-31 06:00:00,1979.119,1980.111,1978.02,1978.424,0.0,none,none,
2023-03-31 07:00:00,1978.449,1979.805,1977.671,1979.684,0.0,none,none,
2023-03-31 08:00:00,1979.652,1983.616,1979.134,1982.392,0.0,none,none,
2023-03-31 09:00:00,1982.36,1983.334,1980.822,1981.726,0.0,none,none,
2023-03-31 10:00:00,1981.695,1981.9,1980.817,1981.219,0.0,none,none,
2023-03-31 11:00:00,1981.196,1982.077,1980.269,1980.865,0.0,none,none,
2023-03-31 12:00:00,1980.856,1980.921,1978.124,1979.098,0.0,none,none,
2023-03-31 13:00:00,1979.092,1985.055,1979.092,1984.22,1.0,268660906,1984.332,
2023-03-31 14:00:00,1984.207,1984.207,1974.841,1975.299,0.0,none,none,
2023-03-31 15:00:00,1975.303,1978.746,1973.209,1975.193,0.0,none,none,
2023-03-31 16:00:00,1975.233,1980.403,1975.233,1978.455,1.0,268755949,1978.674,
2023-03-31 17:00:00,1978.486,1981.032,1976.99,1979.383,0.0,none,none,
2023-03-31 18:00:00,1979.415,1981.945,1979.345,1980.229,0.0,none,none,
2023-03-31 19:00:00,1980.241,1987.599,1976.188,1979.613,0.0,none,none,
2023-03-31 20:00:00,1979.582,1984.085,1974.801,1979.672,0.0,none,none,
2023-03-31 21:00:00,1979.636,1981.032,1975.258,1977.945,0.0,none,none,
2023-03-31 22:00:00,1977.949,1981.077,1974.87,1979.695,0.0,none,none,
2023-03-31 23:00:00,1979.688,1979.784,1975.278,1977.11,0.0,none,none,
