time_records,open,high,low,close,prediction,ticket,order price,prediction_s
4/17/2023 18:00,2007.582,2010.17,2004.907,2009.111,0,none,none,0
4/18/2023 6:00,1994.626,1995.328,1993.834,1993.943,0,none,none,0
4/18/2023 7:00,1993.952,1996.114,1993.344,1995.175,0,none,none,0
4/18/2023 8:00,1995.166,1999.36,1994.492,1997.644,0,none,none,0
4/18/2023 9:00,1997.663,2000.871,1996.157,2000.409,0,none,none,0
4/18/2023 10:00,2000.377,2001.787,1999.424,2000.248,0,none,none,0
4/18/2023 12:00,1998.402,2001.785,1996.364,2000.574,0,none,none,0
4/18/2023 13:00,2000.587,2001.14,1998.082,1999.773,0,none,none,0
4/18/2023 14:00,1999.805,2004.109,1998.564,2002.317,0,none,none,0
4/18/2023 15:00,2002.322,2005.152,2001.903,2003.2,0,none,none,0
4/18/2023 17:00,2001.176,2004.778,1999.687,2003.48,0,none,none,0
4/18/2023 22:00,2009.171,2011.861,2007.123,2008.429,0,none,none,0
4/18/2023 23:00,2008.459,2008.533,2005.127,2007.148,0,none,none,0
4/19/2023 1:00,2004.067,2005.593,2003.386,2005.291,0,none,none,0
4/19/2023 2:00,2005.321,2006.165,2003.803,2004.07,0,none,none,0
4/19/2023 3:00,2004.1,2005.453,2004.1,2005.011,0,none,none,0
4/19/2023 5:00,2005.071,2005.934,2004.571,2005.488,0,none,none,0
4/19/2023 6:00,2005.491,2006.273,2004.8,2005.755,0,none,none,0
